date	drop_ID	Species	tube	male	hour_spawning	hour_video	time_after_spawning	time_after_spawning.min	time_after_min_round	egg_present	replicate	Total_Sperm	Total_Paths	Slow_Sperm	Motile_Sperm	Progressive_Motile_Sperm	Total_motile_sperm	Percent_Motile	Percent_Progressive	Percent_Total_Motile	Avg_Motile_VCL	Avg_Motile_VAP	Avg_Motile_VSL	Avg_Prog_Motile_VCL	Avg_Prog_Motile_VAP	Avg_Prog_Motile_VSL	Avg_Tot_Motile_VCL	Avg_Tot_Motile_VAP	Avg_Tot_Motile_VSL	Z-video	coments
2024-02-25	a	Lophelia	2	71	20:20	21:23	01:03	1.050	0.750	no	1	198	76	5	16	55	71	8.08080808080808	27.7777777777778	35.8585858585859	83.8853192013976	51.0546009306258	43.8812359575364	123.655384615598	110.624111314147	99.403967477437	114.693116353243	97.1999962981419	86.891802627882	down	
2024-02-25	b	Lophelia	2	71	20:20	21:23	01:03	1.050	0.750	no	2	208	94	15	19	59	78	9.13461538461538	28.3653846153846	37.5	72.1651830030182	46.3508675867813	34.3276092545201	126.051302968985	109.676461278685	101.012363290803	113.170398331498	94.0681981160573	84.9821973391881	down	
2024-02-25	c	Lophelia	2	71	20:20	21:23	01:03	1.050	0.750	no	3	213	104	16	25	63	88	11.7370892018779	29.5774647887324	41.3145539906103	62.4425992146413	45.896989767333	28.2709331333003	123.841401839773	110.017758449451	100.293668272288	106.398560184906	91.8016309829403	79.832663971439	down	
2024-02-25	a	Lophelia	1	72	20:20	21:47	01:27	1.450	1.500	yes	1	518	99	20	48	31	79	9.26640926640927	5.98455598455598	15.2509652509653	58.326996891706	45.1115418675791	34.4716995610718	126.84287156964	108.73614015074	95.1237005320047	85.2129730311484	70.0781563837562	58.2718518408049	down	
2024-02-25	b	Lophelia	1	72	20:20	21:47	01:27	1.450	1.500	yes	2	501	102	43	41	18	59	8.18363273453094	3.59281437125748	11.7764471057884	57.6292941043729	41.109028080161	32.8614599815369	117.716220119799	105.390296215087	91.9157151862124	75.960898651452	60.7202624264096	50.8780124168616	down	
2024-02-25	c	Lophelia	1	72	20:20	21:47	01:27	1.450	1.500	yes	3	509	101	38	39	24	63	7.66208251473477	4.71512770137525	12.37721021611	54.8277714622983	39.947703954925	30.5808330584165	120.885231218688	107.781431334925	90.9824464439393	79.9925180361611	65.7891239092105	53.5909714909966	down	
2024-02-25	a	Lophelia	1	72	20:20	21:41	01:21	1.350	1.500	no	1	175	46	12	28	6	34	16	3.42857142857143	19.4285714285714	51.8064405071256	47.0813086261653	21.0201992264266	122.35122126011	111.860792089081	93.5254712071397	64.2555194635347	58.5129821784444	33.815247223023	down	
2024-02-25	b	Lophelia	1	72	20:20	21:41	01:21	1.350	1.500	no	2	193	57	18	24	15	39	12.4352331606218	7.7720207253886	20.2072538860104	46.4386789674849	39.056204835759	20.9906307075535	111.218899068825	101.328174577861	80.9572194256333	71.3541482372312	63.0069624288752	44.0547032914303	down	
2024-02-25	c	Lophelia	1	72	20:20	21:41	01:21	1.350	1.500	no	3	180	40	4	19	17	36	10.5555555555556	9.44444444444444	20	53.2801137796501	46.5142795382805	19.9804693030216	129.387405195199	116.586238113438	92.7331290981629	89.219668059215	79.6038155321047	54.3358919840606	down	
2024-03-21	a	Lophelia	2	54	10:00	16:34	06:34	6.567	6.600	no 	1	159	6	1	2	3	5	1.257861635	1.886792453	3.144654088	40.2356399	38.84198906	18.61370797	131.6744588	121.4808629	109.0216653	95.09893125	88.42531334	72.85848239	down	"many stuck, some swiming fast"
2024-03-21	b	Lophelia	2	54	10:00	16:34	06:34	6.567	6.600	no	2	152	19	1	10	8	18	6.578947368	5.263157895	11.84210526	47.41498356	42.54171294	17.20593349	135.5345466	113.5671849	113.1186439	86.57923378	74.10858935	59.83380479	down	"many stuck, some swiming fast"
2024-03-21	c	Lophelia	2	54	10:00	16:34	06:34	6.567	6.600	no	3	174	19	1	7	11	18	4.022988506	6.32183908	10.34482759	50.16349179	45.16653403	18.56953212	136.058878	113.0994143	107.3511373	102.6551167	86.68107196	72.82495753	down	"many stuck, some swiming fast"
2024-03-21	a	Lophelia	2	54	10:00	16:31	06:31	6.517	6.600	yes	1	230	166	21	44	101	145	19.13043478	43.91304348	63.04347826	80.91113785	51.00910462	45.60654067	141.6977663	119.7996844	106.8320834	123.2521687	98.92530154	88.25329804	down	"many moving fast, some stuck "
2024-03-21	b	Lophelia	2	54	10:00	16:31	06:31	6.517	6.600	yes	2	253	142	3	35	104	139	13.83399209	41.10671937	54.94071146	77.76153118	51.45569074	36.97532343	144.5839514	120.3503191	107.1801878	127.7581622	103.0027508	89.502704	down	"many moving fast, some stuck "
2024-03-21	c	Lophelia	2	54	10:00	16:31	06:31	6.517	6.600	yes	3	255	157	5	33	118	151	12.94117647	46.2745098	59.21568627	80.3943205	52.95385782	47.13927628	145.8689095	124.1838221	111.8388866	131.5869661	108.425104	97.73871685	down	"many moving fast, some stuck "
2024-03-21	a	Lophelia	7	52	09:00	10:48	01:48	1.800	1.800	yes	1	125	40	2	6	32	38	4.8	25.6	30.4	80.04982199	45.33583734	42.31877012	142.8155011	126.4940923	118.1495713	132.9051307	113.679631	106.1762869	down	some stuck some swiming fast
2024-03-21	b	Lophelia	7	52	09:00	10:48	01:48	1.800	1.800	yes	2	92	35	2	9	23	32	9.782608696	25	34.7826087	62.00594999	41.84086049	30.91784345	144.7988231	123.3457853	117.8296287	121.654397	99.7946334	93.7032283	down	some stuck some swiming fast
2024-03-21	c	Lophelia	7	52	09:00	10:48	01:48	1.800	1.800	yes	3	150	35	0	3	32	35	2	21.33333333	23.33333333	61.13025158	56.59025127	37.03970799	136.0889983	121.2675257	99.97497466	129.6639629	115.7237594	94.58052323	down	some stuck some swiming fast
2024-03-21	a	Lophelia	7	52	09:00	10:46	01:46	1.767	1.800	no	1	130	50	2	12	36	48	9.230769231	27.69230769	36.92307692	66.68728247	47.54934278	42.87439777	139.7016446	119.9612866	112.5485923	121.4480541	101.8583006	95.13004364	down	some stuck some swiming fast
2024-03-21	b	Lophelia	7	52	09:00	10:46	01:46	1.767	1.800	no	2	125	47	3	12	32	44	9.6	25.6	35.2	69.38480956	45.961268	33.39428889	140.7923846	119.9595114	112.9089036	121.3175914	99.77817228	91.22309958	down	some stuck some swiming fast
